True_Energy,mean,mean_error,trap_energy,True_T,sig,sig_error
33,35.477003484320555,0.5636935027942451,31.634544016429263,124,30.198403067303392,0.3986609575160742
38,17.304626334519572,0.307240759860909,37.11652171981095,84,16.286658512443353,0.21729069201921328
38,20.45302130632204,0.3268569122078029,36.94671708968453,92,17.489135706177976,0.2311631134104043
38,18.834209603925693,0.3189260139335772,37.03527009611467,88,17.03494872734396,0.22555427993016947
38,16.57147924796027,0.29205681891306834,37.19188026420887,80,15.506539454376561,0.20655199608049354
38,23.984093319194063,0.36886740562976833,36.79340197977372,104,19.61944667787667,0.2608747551931933
38,27.554120111731844,0.39970215220344385,36.696589561187366,114,21.39060132870159,0.2826814573996157
38,26.341437632135307,0.39111322948336963,36.74089812814831,110,20.835729082272916,0.2766075539050098
38,23.044677137870856,0.35600045818056875,36.82759869371168,100,19.0551718605207,0.25177428158504217
38,32.15974886641088,0.45396535224117673,36.477246610752935,128,24.307290658332356,0.321057975850246
38,29.016393442622952,0.4228949368220977,36.59523728065634,120,22.64364471104109,0.29908404186160936
38,34.532677442023896,0.47800477188452917,36.389467394702805,134,25.500557783972248,0.3380598129535945
38,30.66376306620209,0.4397240886503802,36.538649142203354,124,23.557066387394237,0.31098606841354814
43,16.63782837127846,0.2771730139030626,41.96805341757886,88,14.80996392166728,0.19602525086596598
43,18.0,0.28141842021404384,41.86800382400154,92,15.057857911270254,0.19902763490085626
43,14.595828838547286,0.26190515292289385,42.1436912393696,80,13.811617344965672,0.18522821510164264
43,15.429394812680115,0.2786331849827895,42.059996044392975,84,14.680558236104709,0.19705891108167584
43,21.72762645914397,0.33155042651529243,41.73067633856147,104,17.628383715095076,0.23448303062299994
43,24.508053221288517,0.35425796560587336,41.6211254438453,114,18.932097213291662,0.25054207601769907
43,20.45324494068388,0.31202163650920306,41.7693726201228,100,16.7040893115596,0.2206711165126168
43,23.742634007809727,0.35088118529439877,41.671264085406364,110,18.62316559147175,0.24815451530693328
43,27.004878048780487,0.3813155365407075,41.442754267977385,124,20.427981183392312,0.2696777879459817
43,25.57212543554007,0.3650444959304754,41.506788214121535,120,19.556302797467037,0.2581704198509022
43,28.617021276595743,0.4069638632804814,41.37356243068186,128,21.790625349181052,0.287817106622738
43,30.555594651653767,0.42184648118001794,41.27464509756015,134,22.488809603218744,0.2983430002926541
47,15.413525889397675,0.25922145056039514,45.91428007475021,88,13.811906597663258,0.1833295360596755
47,14.14599065084502,0.2598355791061492,46.01477550405864,84,13.702477981707506,0.18376454224214162
47,16.67878364208319,0.25882406371374467,45.80653594533617,92,13.844063432887955,0.18304824363790145
47,13.456419529837252,0.24144834443303279,46.105698048597496,80,12.696142834594921,0.1707606434063416
47,20.141392718275007,0.3065764228193711,45.68049582559162,104,16.306292419439004,0.2168205919806376
47,22.483193277310924,0.3251945809336358,45.560754149971665,114,17.378904688683065,0.22998756083713018
47,21.65135994348287,0.3305468838367382,45.61555685121278,110,17.587455110803784,0.2337732348099813
47,18.94236814530213,0.2844135707846338,45.72279176125174,100,15.218119459467777,0.20114589614965112
47,23.57705718270572,0.3355261236046497,45.436028960893765,120,17.968669175915462,0.23729417014934617
47,27.997529992942837,0.3912754576491582,45.18278725984602,134,20.82967678510048,0.2767223555925188
47,25.09198606271777,0.3537997204809738,45.3660383685966,124,18.95389340345755,0.2502177772791324
47,26.098709452389258,0.3701146773559127,45.2909062053512,128,19.81755875198497,0.26175625200847197
52,13.868244436594843,0.23628555340476787,50.84822995046334,88,12.572079081799258,0.16710863378031915
52,12.126269956458636,0.2226678513871304,51.058844984300684,80,11.689532024251076,0.15747852038361487
52,15.268156424581006,0.2368652023461126,50.74570607668728,92,12.676161697145528,0.16751823886195497
52,12.550719424460432,0.23579784179168642,50.958249828640724,84,12.432607518065378,0.16676424918780067
52,17.39951151430565,0.2562333327993786,50.66481548427595,100,13.71746050550937,0.1812159447311919
52,19.53840682788051,0.29308097737558747,50.545922808470785,110,15.54158433204273,0.2072764055071653
52,20.861888111888113,0.3035010243057393,50.485290032629536,114,16.230921514758496,0.21464516104221998
52,18.343860894251243,0.27681657158623957,50.61777018437936,104,14.694762791920555,0.1957736142650173
52,21.560627177700347,0.3108367331339028,50.34757989435911,120,16.65226387881164,0.21983306362067803
52,23.67062521830248,0.33418361270754116,50.18758592368778,128,17.881165534927565,0.23634477803271553
52,25.334508283397955,0.3565423086615625,50.06796496270329,134,18.990689810668776,0.2521579290976435
52,22.714982578397212,0.31947720860454265,50.270143494370664,124,17.115154722261316,0.2259438671113061
57,11.375678610206297,0.22491622064010067,56.011991920003894,80,11.822551641938981,0.15906857290037163
57,11.620107719928187,0.22653024640691882,55.90174277420224,84,11.954703167207645,0.16020983894785504
57,13.969569779643232,0.22064482373526154,55.696179399478986,92,11.797794337565378,0.15604674392509382
57,12.562876372653205,0.21916942023505676,55.783566320673,88,11.644890198919889,0.15500363941733367
57,16.865671641791046,0.2562214250301712,55.555044543167114,104,13.591816069444123,0.18120810758773412
57,19.047585724282715,0.278933178357659,55.40982591528748,114,14.91184180481139,0.19727005684040697
57,17.841878809609177,0.27379935220759677,55.47628876572885,110,14.459613128160678,0.1936400967117428
57,16.00385288966725,0.23595567085559277,55.60699804497678,100,12.607630603267456,0.1668750825392089
57,21.852447552447554,0.30690214277001204,55.0842656420244,128,16.412809819690203,0.21705053552870635
57,19.69839609483961,0.2829768290312262,55.25913082782429,120,15.15445942236979,0.2001297278884299
57,20.797909407665504,0.2961645393310187,55.174309930580385,124,15.866239523120578,0.2094564479575129
57,23.403818953323903,0.33257744720207055,54.9533350285961,134,17.686117174770086,0.2352093576760864
62,12.844755244755245,0.19810248056890736,60.64665272227072,92,10.594316185087425,0.1401041032459286
62,10.24945215485756,0.20468878236003668,60.96513885570711,80,10.71052512693035,0.1447632644042439
62,10.89863407620417,0.2162893801012759,60.846739200039664,84,11.40811154038481,0.15296718214372626
62,11.793909348441927,0.2038418012438414,60.72021191799061,88,10.832422597672162,0.14416344689842947
62,15.542336548767416,0.23543681950323708,60.49231890195479,104,12.455920609969452,0.16650871859161967
62,16.64541547277937,0.25806686965304815,60.40665472298686,110,13.636093198616866,0.1825135215446891
62,17.563572679509633,0.2610630353803972,60.33436179794538,114,13.94917232677214,0.18463178027919644
62,14.89313244569026,0.21708813326331,60.549180605677584,100,11.597464947181287,0.15353139108293673
62,19.266039051603904,0.2765276639536396,60.078888270720064,124,14.809082697317628,0.1955686842987353
62,18.39616724738676,0.26368194266577,60.170681761289536,120,14.126069480522315,0.18648378102950108
62,21.77872039589961,0.30988188398309596,59.83934831885406,134,16.482104426837086,0.21915831919298132
62,20.2344078486335,0.28519698609655647,59.98094536036092,128,15.236033400705336,0.20170006231964616
66,12.171038824763903,0.18582027427488196,64.6076898399002,92,9.935738996874996,0.13141776120093596
66,9.63556531284303,0.197871830185001,64.92765640426967,80,10.344363818380627,0.13994211756207148
66,10.131788559015206,0.2076614166679454,64.80323457549235,84,10.91359038502683,0.14686538510586647
66,11.100106119561373,0.20034739593867093,64.6868847178833,88,10.652378912756642,0.14169206497750908
66,16.560070052539405,0.24918758823695514,64.27399050407172,114,13.314641059563156,0.1762331000734355
66,14.187368421052632,0.20680570346565105,64.5029266542383,100,11.040403394345695,0.14625937709968997
66,15.791007194244605,0.24742595336569995,64.35094748879325,110,13.045707902180432,0.17498804496717626
66,14.629113018597996,0.22114355733173574,64.44213838898487,104,11.693455706776325,0.1564000800469783
